state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Andaman and Nicobar Islands,27 March,-78.0,-79.0,-70.0,-66.0,-63.0,,-71.5
Andaman and Nicobar Islands,28 March,-78.0,-79.0,-70.0,-66.0,-63.0,,-71.5
Andaman and Nicobar Islands,29 March,-78.0,-79.0,-70.0,-66.0,-63.0,,-71.5
Andaman and Nicobar Islands,30 March,-69.0,-60.0,-62.0,-61.0,-56.0,29.0,-61.5
Andaman and Nicobar Islands,31 March,-72.0,-64.0,-64.0,-60.0,-56.0,29.0,-63.0
Andaman and Nicobar Islands,01 April,-75.0,-65.0,-67.0,-63.0,-58.0,,-65.25
Andaman and Nicobar Islands,02 April,-74.0,-67.0,-67.0,-64.0,-57.0,,-65.5
Andaman and Nicobar Islands,03 April,-76.0,-70.0,-65.0,-64.0,-57.0,,-66.75
Andaman and Nicobar Islands,04 April,-76.0,-70.0,-65.0,-64.0,-57.0,,-66.75
Andaman and Nicobar Islands,05 April,-76.0,-70.0,-65.0,-64.0,-57.0,,-66.75
Andaman and Nicobar Islands,06 April,-75.0,,-67.0,-67.0,-56.0,31.0,-66.0
Andaman and Nicobar Islands,07 April,-81.0,,-71.0,-77.0,-56.0,31.0,-71.33
Andaman and Nicobar Islands,08 April,-83.0,,-72.0,-78.0,-54.0,29.0,-71.67
Andaman and Nicobar Islands,09 April,-82.0,,-71.0,-77.0,-55.0,29.0,-71.33
Andaman and Nicobar Islands,10 April,-83.0,,-70.0,-78.0,-62.0,,-74.33
Andaman and Nicobar Islands,11 April,-83.0,,-70.0,-78.0,-62.0,,-74.33
Andaman and Nicobar Islands,12 April,-83.0,,-70.0,-78.0,-62.0,,-74.33
Andaman and Nicobar Islands,13 April,-80.0,,-70.0,-77.0,-50.0,28.0,-69.0
Andaman and Nicobar Islands,14 April,-83.0,,-72.0,-77.0,-62.0,,-74.0
Andaman and Nicobar Islands,15 April,-82.0,,-69.0,-75.0,-51.0,27.0,-69.33
Andaman and Nicobar Islands,16 April,-87.0,,-69.0,-79.0,-52.0,29.0,-72.67
Andaman and Nicobar Islands,17 April,-86.0,,-70.0,-80.0,-49.0,31.0,-71.67
Andaman and Nicobar Islands,18 April,-86.0,,-70.0,-80.0,-49.0,31.0,-71.67
Andaman and Nicobar Islands,19 April,-86.0,,-70.0,-80.0,-49.0,31.0,-71.67
Andaman and Nicobar Islands,20 April,-86.0,,-72.0,-80.0,-49.0,29.0,-71.67
Andaman and Nicobar Islands,21 April,-88.0,,-71.0,-82.0,-52.0,30.0,-74.0
Andaman and Nicobar Islands,22 April,-88.0,,-73.0,-81.0,-51.0,29.0,-73.33
Andaman and Nicobar Islands,23 April,-88.0,,-71.0,-82.0,-52.0,30.0,-74.0
Andaman and Nicobar Islands,24 April,-88.0,,-73.0,-82.0,-50.0,30.0,-73.33
Andaman and Nicobar Islands,25 April,-88.0,,-73.0,-82.0,-50.0,30.0,-73.33
Andaman and Nicobar Islands,26 April,-88.0,,-73.0,-82.0,-50.0,30.0,-73.33
Andaman and Nicobar Islands,27 April,-87.0,,-75.0,-81.0,-49.0,30.0,-72.33
Andaman and Nicobar Islands,28 April,-88.0,,-71.0,-81.0,-50.0,29.0,-73.0
Andaman and Nicobar Islands,29 April,-91.0,,-72.0,-81.0,-54.0,32.0,-75.33
Andaman and Nicobar Islands,30 April,-86.0,,-70.0,-80.0,-48.0,30.0,-71.33
Andaman and Nicobar Islands,01 May,-88.0,,-74.0,-82.0,-51.0,31.0,-73.67
Andaman and Nicobar Islands,02 May,-88.0,,-74.0,-82.0,-51.0,31.0,-73.67
Andaman and Nicobar Islands,03 May,-88.0,,-74.0,-82.0,-51.0,31.0,-73.67
Andaman and Nicobar Islands,04 May,-85.0,,-71.0,-80.0,-41.0,27.0,-68.67
Andaman and Nicobar Islands,05 May,-85.0,,-70.0,-79.0,-43.0,27.0,-69.0
Andaman and Nicobar Islands,06 May,-89.0,,-68.0,-81.0,-46.0,30.0,-72.0
Andaman and Nicobar Islands,07 May,-84.0,,-69.0,-77.0,-52.0,29.0,-71.0
Andaman and Nicobar Islands,08 May,-83.0,,-69.0,-74.0,-35.0,25.0,-64.0
Andaman and Nicobar Islands,09 May,-83.0,,-69.0,-74.0,-35.0,25.0,-64.0
Andaman and Nicobar Islands,10 May,-83.0,,-69.0,-74.0,-35.0,25.0,-64.0
Andaman and Nicobar Islands,11 May,-82.0,,-74.0,-77.0,-36.0,25.0,-65.0
Andaman and Nicobar Islands,12 May,-84.0,,-76.0,-77.0,-40.0,25.0,-67.0
Andaman and Nicobar Islands,13 May,-86.0,,-74.0,-74.0,-37.0,23.0,-65.67
Andaman and Nicobar Islands,14 May,-86.0,,-69.0,-70.0,-37.0,22.0,-64.33
Andaman and Nicobar Islands,15 May,-83.0,,-69.0,-68.0,-31.0,24.0,-60.67
Andaman and Nicobar Islands,16 May,-83.0,,-69.0,-68.0,-31.0,24.0,-60.67
Andaman and Nicobar Islands,17 May,-83.0,,-69.0,-68.0,-31.0,24.0,-60.67
Andaman and Nicobar Islands,18 May,-79.0,,-70.0,-62.0,-26.0,22.0,-55.67
Andaman and Nicobar Islands,19 May,-80.0,,-70.0,-61.0,-28.0,20.0,-56.33
Andaman and Nicobar Islands,20 May,-81.0,,-78.0,-50.0,-35.0,12.0,-55.33
Andaman and Nicobar Islands,21 May,-82.0,,-74.0,-55.0,-46.0,5.0,-61.0
Andaman and Nicobar Islands,22 May,-81.0,,-76.0,-51.0,-35.0,14.0,-55.67
Andaman and Nicobar Islands,23 May,-81.0,,-76.0,-51.0,-35.0,14.0,-55.67
Andaman and Nicobar Islands,24 May,-81.0,,-76.0,-51.0,-35.0,14.0,-55.67
Andaman and Nicobar Islands,25 May,-78.0,,-68.0,-45.0,-51.0,17.0,-58.0
Andaman and Nicobar Islands,26 May,-77.0,,-68.0,-33.0,-24.0,9.0,-44.67
Andaman and Nicobar Islands,27 May,-77.0,,-68.0,-35.0,-28.0,6.0,-46.67
Andaman and Nicobar Islands,28 May,-76.0,,-70.0,-32.0,-22.0,13.0,-43.33
Andaman and Nicobar Islands,29 May,-76.0,,-67.0,-40.0,-21.0,16.0,-45.67
Andaman and Nicobar Islands,30 May,-76.0,,-67.0,-40.0,-21.0,16.0,-45.67
Andaman and Nicobar Islands,31 May,-76.0,,-67.0,-40.0,-21.0,16.0,-45.67
Andaman and Nicobar Islands,01 June,-68.0,,-63.0,-24.0,-11.0,13.0,-34.33
Andaman and Nicobar Islands,02 June,-71.0,,-61.0,-27.0,-15.0,14.0,-37.67
Andaman and Nicobar Islands,03 June,-71.0,,-64.0,-22.0,-14.0,14.0,-35.67
Andaman and Nicobar Islands,04 June,-69.0,,-62.0,-21.0,-13.0,12.0,-34.33
Andaman and Nicobar Islands,05 June,-71.0,,-70.0,-24.0,-16.0,12.0,-37.0
Andaman and Nicobar Islands,06 June,-71.0,,-70.0,-24.0,-16.0,12.0,-37.0
Andaman and Nicobar Islands,07 June,-71.0,,-70.0,-24.0,-16.0,12.0,-37.0
Andaman and Nicobar Islands,08 June,-64.0,,-65.0,-16.0,-7.0,11.0,-29.0
Andaman and Nicobar Islands,09 June,-73.0,,-67.0,-26.0,-12.0,12.0,-37.0
Andaman and Nicobar Islands,10 June,-65.0,,-62.0,-11.0,-10.0,9.0,-28.67
Andaman and Nicobar Islands,11 June,-62.0,,-61.0,-17.0,-10.0,12.0,-29.67
Andaman and Nicobar Islands,12 June,-64.0,,-63.0,-15.0,-9.0,12.0,-29.33
Andaman and Nicobar Islands,13 June,-64.0,,-63.0,-15.0,-9.0,12.0,-29.33
Andaman and Nicobar Islands,14 June,-64.0,,-63.0,-15.0,-9.0,12.0,-29.33
Andaman and Nicobar Islands,15 June,-60.0,,-65.0,-17.0,-11.0,12.0,-29.33
Andaman and Nicobar Islands,16 June,-67.0,,-65.0,-18.0,-13.0,12.0,-32.67
Andaman and Nicobar Islands,17 June,-64.0,,-65.0,-15.0,-15.0,12.0,-31.33
Andaman and Nicobar Islands,18 June,-64.0,,-62.0,-20.0,-15.0,11.0,-33.0
Andaman and Nicobar Islands,19 June,-61.0,,-63.0,-21.0,-12.0,12.0,-31.33
Andaman and Nicobar Islands,20 June,-61.0,,-63.0,-21.0,-12.0,12.0,-31.33
Andaman and Nicobar Islands,21 June,-61.0,,-63.0,-21.0,-12.0,12.0,-31.33
Andaman and Nicobar Islands,22 June,-55.0,,-61.0,-16.0,-9.0,10.0,-26.67
Andaman and Nicobar Islands,23 June,-54.0,,-61.0,-15.0,-11.0,12.0,-26.67
Andaman and Nicobar Islands,24 June,-57.0,,-60.0,-10.0,-10.0,10.0,-25.67
Andaman and Nicobar Islands,25 June,-58.0,,-60.0,-15.0,-10.0,11.0,-27.67
Andaman and Nicobar Islands,26 June,-56.0,,-60.0,-17.0,-10.0,11.0,-27.67
Andaman and Nicobar Islands,27 June,-56.0,,-60.0,-17.0,-10.0,11.0,-27.67
Andaman and Nicobar Islands,28 June,-56.0,,-60.0,-17.0,-10.0,11.0,-27.67
Andaman and Nicobar Islands,29 June,-63.0,,-63.0,-25.0,-10.0,12.0,-32.67
Andaman and Nicobar Islands,30 June,-48.0,,-61.0,-18.0,-12.0,10.0,-26.0
Andaman and Nicobar Islands,01 July,-51.0,,-57.0,-16.0,-12.0,9.0,-26.33
Andaman and Nicobar Islands,02 July,-51.0,,-61.0,-19.0,-12.0,13.0,-27.33
Andaman and Nicobar Islands,03 July,-54.0,,-65.0,-22.0,-9.0,15.0,-28.33
Andaman and Nicobar Islands,04 July,-54.0,,-65.0,-22.0,-9.0,15.0,-28.33
Andaman and Nicobar Islands,05 July,-54.0,,-65.0,-22.0,-9.0,15.0,-28.33
Andaman and Nicobar Islands,06 July,-47.0,,-57.0,-16.0,-8.0,10.0,-23.67
Andaman and Nicobar Islands,07 July,-51.0,,-58.0,-19.0,-10.0,13.0,-26.67
Andhra Pradesh,15 February,-1.0,-1.0,5.0,5.0,4.0,0.0,1.75
Andhra Pradesh,16 February,-1.0,1.0,4.0,4.0,-1.0,1.0,0.75
Andhra Pradesh,17 February,-1.0,-1.0,4.0,3.0,6.0,0.0,1.75
Andhra Pradesh,18 February,-1.0,1.0,4.0,2.0,5.0,0.0,1.75
Andhra Pradesh,19 February,-2.0,0.0,4.0,0.0,4.0,0.0,0.5
Andhra Pradesh,20 February,0.0,5.0,5.0,6.0,4.0,0.0,3.75
Andhra Pradesh,21 February,-3.0,-6.0,18.0,0.0,-31.0,6.0,-10.0
Andhra Pradesh,22 February,-3.0,-6.0,18.0,0.0,-31.0,6.0,-10.0
