dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
22 June,Mizoram,142,1.5306672415651612,12,,,1,0.17889087656529518,5.0,0.8300132802124834,559,9277,7486.015667616708,0.806943588187637,451.08146579688906,622.5714285714286,
23 June,Mizoram,142,1.443089430894309,19,,,,,5.25,0.8724553385957624,563,9840,7940.324907766348,,454.3092401496396,616.5714285714286,
24 June,Mizoram,145,1.3827961090978447,24,,,3,0.46439628482972134,4.8,0.7861120209629873,646,10486,8461.61046573556,2.420830764562911,521.2855579692135,635.8571428571429,
25 June,Mizoram,145,1.242289239204935,30,,,,,3.75,0.6180469715698393,1186,11672,9418.645561326099,,957.0350955905375,715.8571428571429,
26 June,Mizoram,147,1.1526699600094095,47,,,2,0.18501387604070305,3.4,0.4846066134549601,1081,12753,10290.951580156934,1.613887176375274,872.3060188308356,751.0,
27 June,Mizoram,150,1.1676786548341895,55,,,3,3.225806451612903,2.0,0.35549235691432635,93,12846,10365.997333858384,2.420830764562911,75.04575370145024,651.7142857142857,
28 June,Mizoram,151,1.1604672609898554,55,,,1,0.6024096385542169,2.0,0.3929273084479371,166,13012,10499.949969497533,0.806943588187637,133.95263563914773,613.4285714285714,
29 June,Mizoram,151,1.155140758873929,61,,,,,2.25,0.45317220543806647,60,13072,10548.366584788791,,48.41661529125822,542.1428571428571,
30 June,Mizoram,160,1.1639749745380474,122,,,9,1.3353115727002967,3.6,0.6766917293233082,674,13746,11092.246563227258,7.262492293688733,543.8799784384673,558.0,
01 July,Mizoram,160,1.152239665850497,123,,,,,3.75,0.7447864945382324,140,13886,11205.218665573528,,112.97210234626918,485.7142857142857,
02 July,Mizoram,162,1.1628741655301127,126,,,2,4.444444444444445,3.4,0.825643516270034,45,13931,11241.531127041972,1.613887176375274,36.312461468443665,322.7142857142857,
03 July,Mizoram,162,1.1273486430062631,127,,,,,3.75,1.5337423312883436,439,14370,11595.779362256344,,354.24823521437264,231.0,
04 July,Mizoram,164,1.1303328968226618,130,,,2,1.4388489208633093,3.5,1.3671875,139,14509,11707.944521014424,1.613887176375274,112.16515875808155,237.57142857142858,
05 July,Mizoram,186,1.2415726587010214,133,,,22,4.661016949152542,8.75,2.6315789473684212,472,14981,12088.82189463899,17.752758940128015,380.87737362456465,281.2857142857143,
06 July,Mizoram,197,1.3128082100493137,133,,,11,44.0,9.2,3.3948339483394836,25,15006,12108.99548434368,8.876379470064007,20.173589704690926,276.2857142857143,
07 July,Mizoram,198,1.3149156594501261,139,,,1,1.9230769230769231,7.6,5.184174624829468,52,15058,12150.956550929437,0.806943588187637,41.96106658575712,187.42857142857142,
08 July,Mizoram,203,1.3370216689718764,143,,,5,4.0,7.166666666666667,5.011655011655011,125,15183,12251.824499452892,4.034717940938185,100.86794852345463,185.28571428571428,
09 July,Mizoram,203,1.3077369065258004,143,,,,,8.2,5.043050430504305,340,15523,12526.185319436689,,274.36081998379655,227.42857142857142,
10 July,Mizoram,226,1.4242500630199142,143,,,23,6.666666666666667,10.666666666666666,5.526770293609672,345,15868,12804.580857361423,18.55970252831565,278.39553792473475,214.0,
11 July,Mizoram,227,1.384484020492803,150,,,1,0.1893939393939394,10.5,4.072398190045249,528,16396,13230.647071924495,0.806943588187637,426.0662145630723,269.57142857142856,
12 July,Mizoram,231,1.3835649257307139,150,,,4,1.3333333333333333,7.5,3.272727272727273,300,16696,13472.730148380788,3.227774352750548,242.08307645629108,245.0,
13 July,Mizoram,233,1.3775570533286035,151,,,2,0.9174311926605505,6.0,2.295918367346939,218,16914,13648.643850605691,1.613887176375274,175.91370222490485,272.57142857142856,
14 July,Mizoram,238,1.4071183634858697,159,,,5,,6.666666666666667,2.308707124010554,,16914,13648.643850605691,4.034717940938185,,309.3333333333333,
15 July,Mizoram,238,1.386300093196645,159,,,,,7.0,2.156721782890007,254,17168,13853.607522005352,,204.9636713996598,330.8333333333333,
16 July,Mizoram,272,1.555263308365258,160,,,34,10.59190031152648,11.5,3.7383177570093458,321,17489,14112.636413813583,27.436081998379656,259.0288918082315,327.6666666666667,
17 July,Mizoram,282,1.587837837837838,160,,,10,3.690036900369004,9.333333333333334,3.1135531135531136,271,17760,14331.318126212433,8.06943588187637,218.6817123988496,315.3333333333333,
18 July,Mizoram,284,1.5810276679841897,167,,,2,0.9852216748768473,9.5,3.9603960396039604,203,17963,14495.127674614523,1.613887176375274,163.80954840209031,261.1666666666667,
19 July,Mizoram,284,1.5649969691960104,167,,,,,10.6,4.738400789733465,184,18147,14643.605294841049,,148.4776202265252,241.83333333333334,
20 July,Mizoram,297,1.6366341544056868,168,,,13,,12.8,5.786163522012578,,18147,14643.605294841049,10.49026664643928,,246.6,
21 July,Mizoram,297,1.6232169208066896,168,,,,,14.75,5.786163522012578,150,18297,14764.646833069193,,121.04153822814554,230.5,
22 July,Mizoram,317,1.7040262323281192,179,,,20,6.5359477124183005,15.8,5.994550408719346,306,18603,15011.57157105461,16.13887176375274,246.92473798541693,239.16666666666666,
23 July,Mizoram,326,1.7145261386346902,183,,,9,2.18978102189781,10.8,3.4424853064651555,411,19014,15343.22538579973,7.262492293688733,331.6538147451188,254.16666666666666,
24 July,Mizoram,332,1.72575111757979,183,,,6,2.6785714285714284,10.0,3.234265734265734,224,19238,15523.98074955376,4.841661529125822,180.7553637540307,246.33333333333334,
25 July,Mizoram,361,1.824983570092513,183,,,29,5.3406998158379375,15.4,4.3126684636118595,543,19781,15962.151117939648,23.401364057441473,438.1703683858869,303.0,
26 July,Mizoram,361,1.800229392110906,193,,,,,15.4,4.3126684636118595,272,20053,16181.639773926685,,219.48865598703725,317.6666666666667,
27 July,Mizoram,361,1.800229392110906,193,,,,,16.0,4.3126684636118595,,20053,16181.639773926685,,,317.6666666666667,
28 July,Mizoram,384,1.8784854710889345,198,,,23,5.912596401028278,17.4,4.644954618259477,389,20442,16495.540829731675,18.55970252831565,313.9010558049908,357.5,
