dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
02 May,kl,0.45468651510754776,0.11989597102360618,0.2196952077401206,0.6896778224749749,0.3738178816118356,0.5355551486032599,4.7,1.4866068747318506,04-26-2020
03 May,kl,0.4303286072868702,0.1270451730437992,0.18132514992794554,0.6793320646457949,0.3446379085205581,0.5160193060531824,4.9,2.5475478405713994,04-27-2020
04 May,kl,0.473111492856122,0.14402372711659775,0.19083074865667504,0.7553922370555689,0.375968929153248,0.570254056558996,2.2,1.2489995996796797,04-28-2020
05 May,kl,0.7469310752935051,0.19448290922007974,0.3657523525385176,1.1281097980484927,0.6157542978536535,0.8781078527333567,1.0,1.1832159566199232,04-29-2020
06 May,kl,1.139099817337288,0.2400849999693845,0.6685428207972931,1.6096568138772827,0.9771648857079378,1.301034748966638,0.5,0.5,04-30-2020
07 May,kl,1.4322178786433233,0.25625431348576594,0.9299696743837615,1.934466082902885,1.259376906740309,1.6050588505463375,1.2,1.16619037896906,05-01-2020
08 May,kl,1.613168699211116,0.25084907086460906,1.121514554279317,2.104822844142915,1.4439735094036459,1.7823638890185862,0.5,0.806225774829855,05-02-2020
09 May,kl,1.772652030797449,0.24178548276584602,1.2987621559957014,2.2465419055991966,1.6095701405267135,1.9357339210681843,0.8,0.7483314773547883,05-03-2020
10 May,kl,1.811469715392589,0.22210374853497158,1.376155252413986,2.246784178371192,1.661662958043236,1.9612764727419418,2.0,1.2649110640673518,05-04-2020
11 May,kl,1.7774592423403028,0.1989504982283464,1.387524223832673,2.1673942608479324,1.6432691207902654,1.9116493638903402,1.9,1.1357816691600546,05-05-2020
12 May,kl,1.6577264420263105,0.17418178365214132,1.3163371133394595,1.9991157707131615,1.5402425707707776,1.7752103132818433,1.5,1.4317821063276353,05-06-2020
13 May,kl,1.592472247599403,0.15578631566416257,1.287137300350271,1.897807194848535,1.487395935547082,1.6975485596517241,5.1,2.5475478405714,05-07-2020
14 May,kl,1.5582009255570821,0.14247796832228324,1.2789498067641398,1.8374520443500244,1.4621009607033852,1.654300890410779,8.1,2.9137604568666933,05-08-2020
15 May,kl,1.496721650890486,0.12960825934061215,1.2426946469132598,1.750748654867712,1.4093021760478364,1.5841411257331355,10.0,2.280350850198276,05-09-2020
16 May,kl,1.483159403972375,0.12072004772800062,1.2465529392274028,1.7197658687173472,1.4017349389803158,1.5645838689644342,11.0,2.280350850198276,05-10-2020
17 May,kl,1.5058070896986848,0.11451248372895091,1.2813672020892901,1.7302469773080795,1.4285695645483447,1.583044614849025,14.9,3.1448370387032774,05-11-2020
18 May,kl,1.5411217453388242,0.109408146843133,1.3266861538521573,1.755557336825491,1.4673270443745994,1.614916446303049,17.9,3.753664875824692,05-12-2020
19 May,kl,1.542019269444502,0.10324440383015476,1.339664367713552,1.7443741711754521,1.4723819515051009,1.6116565873839033,18.6,4.476605857119878,05-13-2020
20 May,kl,1.5351831638966433,0.09682605804069921,1.3454079631791944,1.7249583646140922,1.469874956008772,1.6004913717845146,15.1,2.5865034312755126,05-14-2020
21 May,kl,1.4841213315613442,0.08938661650802719,1.3089271386702712,1.6593155244524171,1.423830952592845,1.5444117105298434,19.7,4.243819034784589,05-15-2020
22 May,kl,1.4568725096313995,0.08298442860412267,1.2942263489444632,1.6195186703183357,1.4009003423822048,1.512844676880594,24.4,3.5832945734337835,05-16-2020
23 May,kl,1.4317920182566921,0.07747233935535344,1.2799493320137736,1.5836347044996106,1.3795377000848998,1.4840463364284844,24.7,3.8223029707232783,05-17-2020
24 May,kl,1.393504569589477,0.0722048302368864,1.2519859905183892,1.5350231486605648,1.3448031336429995,1.4422060055359545,29.5,6.786015030929419,05-18-2020
25 May,kl,1.332909939919223,0.06661198078865888,1.202353122052683,1.463466757785763,1.2879808249970806,1.3778390548413655,39.8,5.015974481593781,05-19-2020
26 May,kl,1.2671509295541852,0.061366188294696894,1.146875655144111,1.3874262039642593,1.225760049211295,1.3085418098970754,50.1,4.0853396431631,05-20-2020
27 May,kl,1.225365839995705,0.05749501499306393,1.1126779104098994,1.3380537695815107,1.1865860273330333,1.2641456526583768,53.3,3.4365680554879168,05-21-2020
28 May,kl,1.206973541039453,0.05499953748622068,1.09917664754796,1.314770434530946,1.1698769030003722,1.244070179078534,53.8,5.546169849544818,05-22-2020
29 May,kl,1.2279347227461141,0.05391775309312578,1.1222580833937115,1.3336113620985168,1.1915677374623317,1.2643017080298966,53.6,3.8781438859330635,05-23-2020
30 May,kl,1.219589597716791,0.05239523932553095,1.1168970244483234,1.3222821709852586,1.1842495327441136,1.2549296626894684,62.1,5.838664230798,05-24-2020
31 May,kl,1.2202179420782406,0.05099047787511311,1.120278645062134,1.3201572390943472,1.1858253746562557,1.2546105095002256,63.8,9.05317623820502,05-25-2020
01 June,kl,1.2326292197666089,0.04991700562110799,1.1347938854294621,1.3304645541037556,1.1989606986452277,1.26629774088799,65.3,7.267048919609665,05-26-2020
02 June,kl,1.2260115684046933,0.04852546273178649,1.130903602468901,1.3211195343404856,1.1932816290467305,1.258741507762656,65.2,8.121576201698781,05-27-2020
03 June,kl,1.214665882933454,0.046990218913902065,1.1225669334709625,1.3067648323959455,1.1829714501782163,1.2463603156886918,64.9,7.175653280364095,05-28-2020
04 June,kl,1.1875906471638071,0.04514915596366717,1.099100107441258,1.2760811868863562,1.1571379929578733,1.218043301369741,67.0,6.957010852370434,05-29-2020
05 June,kl,1.1484579637748369,0.043094115023743794,1.0639952220929,1.2329207054567737,1.119391414132472,1.1775245134172019,71.5,10.0821624664553,05-30-2020
06 June,kl,1.0976048036175772,0.04104809961664873,1.0171521702929303,1.178057436942224,1.0699182709071438,1.1252913363280106,87.8,8.908422980528035,05-31-2020
07 June,kl,1.05825068309429,0.03951686616372448,0.9807992060880365,1.1357021601005433,1.0315969520355195,1.0849044141530604,90.2,9.713907555664713,06-01-2020
08 June,kl,1.0187457642622135,0.03848001091439664,0.9433264820704327,1.0941650464539943,0.9927913817005621,1.0447001468238648,96.8,8.726969691708574,06-02-2020
09 June,kl,0.9811533812097396,0.03776435879459771,0.9071367485466799,1.0551700138727993,0.9556816988463714,1.0066250635731078,106.8,11.079711187571633,06-03-2020
10 June,kl,0.9583913556714909,0.03762729346987416,0.8846433655622764,1.0321393457807055,0.9330121224989955,0.9837705888439864,102.0,8.831760866327848,06-04-2020
11 June,kl,0.9532571635537781,0.03806569385266935,0.8786499262303002,1.027864400877256,0.9275822337070911,0.978932093400465,99.3,8.74128137060008,06-05-2020
12 June,kl,0.962200961382002,0.03863456268677422,0.8864787638984319,1.037923158865572,0.9361423351953996,0.9882595875686043,90.6,11.542963224406462,06-06-2020
13 June,kl,1.0069255205041048,0.03980535399080646,0.9289086188962837,1.0849424221119257,0.9800772072908457,1.0337738337173639,80.5,4.05585995813465,06-07-2020
14 June,kl,1.047327490935968,0.040349388040032366,0.9682443043530262,1.1264106775189098,1.0201122321968465,1.0745427496750894,78.5,7.459892760623306,06-08-2020
15 June,kl,1.1018908297616279,0.040981004262806,1.0215697006466986,1.1822119588765572,1.074249552196408,1.1295321073268478,75.5,8.285529554590944,06-09-2020
16 June,kl,1.151605219967679,0.041301455348140184,1.0706560195435382,1.2325544203918197,1.1237478013499118,1.179462638585446,73.1,7.422263805605404,06-10-2020
17 June,kl,1.1834382876647378,0.041349957019092054,1.1023940259055982,1.2644825494238774,1.1555481551549305,1.2113284201745451,76.6,7.631513611335565,06-11-2020
18 June,kl,1.203367196962791,0.04113784348696435,1.1227386692420804,1.2839957246835016,1.1756201329092684,1.2311142610163137,75.6,7.337574531137657,06-12-2020
19 June,kl,1.2058989036857048,0.04043587166496782,1.1266462126572345,1.2851515947141752,1.1786253126064008,1.233172494765009,82.3,4.9,06-13-2020
20 June,kl,1.210079693784767,0.039623039806663804,1.1324201206852984,1.2877392668842358,1.1833543496655705,1.2368050379039637,84.1,5.448853090330111,06-14-2020
21 June,kl,1.192085853398501,0.03846451180180735,1.1166969488474308,1.2674747579495713,1.1661419248333,1.218029781963702,100.8,7.934733769950949,06-15-2020
22 June,kl,1.1756457528169517,0.03707814863061203,1.1029740646268973,1.2483174410070061,1.1506369123470903,1.2006545932868131,107.1,7.327346040688948,06-16-2020
23 June,kl,1.1541839124893098,0.035709814518824864,1.0841941044249939,1.2241737205536258,1.1300979996945077,1.178269825284112,123.5,7.297259759663212,06-17-2020
24 June,kl,1.119257897340838,0.03422354102967457,1.052181125864317,1.186334668817359,1.0961744611517328,1.1423413335299433,132.6,12.571396103854179,06-18-2020
25 June,kl,1.092385141059678,0.032969489519274336,1.0277662603814812,1.157004021737875,1.0701475500738227,1.1146227320455335,138.6,9.178235124467012,06-19-2020
26 June,kl,1.087719339453415,0.03228205296367031,1.0244478069267398,1.1509908719800903,1.065945417549949,1.109493261356881,139.2,13.181805642627266,06-20-2020
27 June,kl,1.091356902881849,0.03195596561876177,1.0287244885077007,1.1539893172559974,1.0698029236316504,1.1129108821320477,140.5,7.406078584514209,06-21-2020
28 June,kl,1.113194268663181,0.031928420413098776,1.050615841790324,1.1757726955360381,1.09165886837875,1.134729668947612,145.6,8.151073548925934,06-22-2020
29 June,kl,1.1441876910631188,0.03204092213577991,1.0813887653138756,1.206986616812362,1.1225764094917565,1.165798972634481,146.0,12.288205727444508,06-23-2020
30 June,kl,1.175052156791864,0.03215934660106352,1.1120211238276434,1.2380831897560844,1.1533609991029126,1.1967433144808153,147.3,8.509406559801924,06-24-2020
01 July,kl,1.18467639604476,0.032013211832031374,1.1219317813824516,1.2474210107070682,1.1630838047961731,1.2062689872933468,153.1,3.6999999999999997,06-25-2020
02 July,kl,1.2151013396569998,0.03202297304217139,1.1523375934132656,1.277865085900734,1.1935021645697856,1.236700514744214,140.3,11.567627241573788,06-26-2020
03 July,kl,1.2644509841470992,0.032510076090422946,1.200732535412914,1.3281694328812845,1.24252326292487,1.2863787053693285,140.7,8.474078120952157,06-27-2020
04 July,kl,1.3009256251575438,0.03323915484714009,1.235778211223343,1.3660730390917446,1.2785061476046964,1.3233451027103913,155.2,13.977124167724918,06-28-2020
05 July,kl,1.337966585615348,0.03396139613093123,1.271403607654568,1.404529563576128,1.3150599635389961,1.3608732076916998,166.4,9.593747964169165,06-29-2020
06 July,kl,1.354360578932194,0.0345027478398386,1.2867365732760239,1.421984584588364,1.3310888205417013,1.3776323373226866,195.9,17.76766726388132,06-30-2020
07 July,kl,1.3542080454441479,0.034346138926800246,1.2868909869931764,1.4215251038951193,1.3310419181994104,1.3773741726888853,219.5,13.017296186228537,07-01-2020
08 July,kl,1.355438150873522,0.03370910437580285,1.2893696546611235,1.4215066470859206,1.3327016970630867,1.3781746046839574,239.1,9.544108130150246,07-02-2020
09 July,kl,1.3801163695219938,0.03344288927298686,1.3145696442625106,1.445663094781477,1.357559475136257,1.4026732639077306,237.7,14.832734070291963,07-03-2020
20 March,ut,1.6382924969511532,0.7368918513636873,0.1940139439523807,3.0825710499499257,1.1412663121248596,2.1353186817774468,0.4,0.66332495807108,03-14-2020
21 March,ut,1.391384243411773,0.6417020805367455,0.13367383364297325,2.6490946531805726,0.9585626071105434,1.8242058797130025,0.8,0.6000000000000001,03-15-2020
22 March,ut,1.3399747284055221,0.630912332732203,0.10341179274371348,2.576537664067331,0.9144306691009785,1.7655187877100658,0.8,0.7483314773547882,03-16-2020
