dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
05 May,Andhra Pradesh,1.2862193989152908,67,0.008108435193029166,65.42857142857143,65.42857142857143,2476.5045866407704
06 May,Andhra Pradesh,1.257839375964438,60,0.007710100231303007,63.57142857142857,63.57142857142857,2620.873977265216
07 May,Andhra Pradesh,1.2272279912426938,56,0.006924693953258316,61.42857142857143,61.42857142857143,2770.9016387892316
08 May,Andhra Pradesh,1.204357899170927,54,0.007377049180327869,60.57142857142857,60.57142857142857,2906.700140378918
09 May,Andhra Pradesh,1.1692080281579218,43,0.005126371006199332,57.857142857142854,57.857142857142854,3062.3118659710344
10 May,Andhra Pradesh,1.139666733818747,50,0.005769674590353104,56.714285714285715,56.714285714285715,3223.0809663503
11 May,Andhra Pradesh,1.114030826303935,38,0.005128897287083277,52.57142857142857,52.57142857142857,3360.5305699401893
12 May,Andhra Pradesh,1.068930652407309,33,0.003075489282385834,47.714285714285715,47.714285714285715,3559.590395357858
13 May,Andhra Pradesh,1.0621483528499573,86,0.009225488092683974,51.42857142857143,51.42857142857143,3732.5294160981666
14 May,Andhra Pradesh,0.99785224184137,-37,-0.003997407087294728,38.142857142857146,38.142857142857146,3904.244024119224
15 May,Andhra Pradesh,0.9827326985284067,57,0.006306705023235229,38.57142857142857,38.57142857142857,4071.9143598251785
16 May,Andhra Pradesh,,,,,,
17 May,Andhra Pradesh,,,,35.4,35.4,
18 May,Andhra Pradesh,0.917309493469898,52,0.005320781745625704,38.2,38.2,4615.126917891792
19 May,Andhra Pradesh,0.9050106403559682,57,0.005889038123773117,43.0,43.0,4794.688898340778
20 May,Andhra Pradesh,0.8994364976159515,68,0.007421960270683257,39.4,39.4,4964.659645822296
21 May,Andhra Pradesh,0.8893596030525491,45,0.005561047948591201,55.8,55.8,5114.780065885649
22 May,Andhra Pradesh,0.8848405069706707,62,0.00736779560308972,56.8,56.8,5270.892687590185
23 May,Andhra Pradesh,0.8741539207219876,47,0.005310734463276836,55.166666666666664,55.166666666666664,5435.075302217061
24 May,Andhra Pradesh,0.8632190479945847,66,0.005811393854010742,56.714285714285715,56.714285714285715,5645.767048467617
25 May,Andhra Pradesh,0.849106387848655,44,0.004296875,55.57142857142857,55.57142857142857,5835.736537030239
26 May,Andhra Pradesh,0.8425416932640046,48,0.005891016200294551,54.285714285714285,54.285714285714285,5986.895852734168
27 May,Andhra Pradesh,0.8385031500279801,68,0.007036423841059603,54.285714285714285,54.285714285714285,6166.179557565142
28 May,Andhra Pradesh,0.8301289168877617,54,0.005477784540474742,55.57142857142857,55.57142857142857,6349.062293722401
29 May,Andhra Pradesh,0.8121534783567033,33,0.002835538752362949,51.42857142857143,51.42857142857143,6564.967069883708
30 May,Andhra Pradesh,0.8101756297849623,70,0.007365319865319866,54.714285714285715,54.714285714285715,6741.282501455892
31 May,Andhra Pradesh,0.8169057915803707,101,0.010779082177161153,59.714285714285715,59.714285714285715,6915.112004173838
01 June,Andhra Pradesh,0.8134302075316645,73,0.006908299422731144,63.857142857142854,63.857142857142854,7111.147901209113
02 June,Andhra Pradesh,0.8087322868674514,82,0.006631085233705321,68.71428571428571,68.71428571428571,7340.55832069792
