state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Andhra Pradesh,25 May,-71,-16,-53,-42,-42,22,-42.75
Andhra Pradesh,26 May,-69,-12,-52,-38,-29,17,-37.0
Andhra Pradesh,27 May,-67,-8,-51,-36,-28,17,-34.75
Andhra Pradesh,28 May,-67,-7,-52,-36,-27,18,-34.25
Andhra Pradesh,29 May,-67,-7,-53,-36,-26,19,-34.0
Andhra Pradesh,30 May,-67,-7,-53,-36,-26,19,-34.0
Andhra Pradesh,31 May,-67,-7,-53,-36,-26,19,-34.0
Andhra Pradesh,01 June,-62,-1,-51,-32,-21,16,-29.0
Andhra Pradesh,02 June,-62,2,-51,-30,-22,15,-28.0
Andhra Pradesh,03 June,-60,7,-50,-29,-22,14,-26.0
Andhra Pradesh,04 June,-60,7,-51,-29,-21,15,-25.75
Andhra Pradesh,05 June,-58,6,-48,-30,-20,16,-25.5
Arunachal Pradesh,15 February,1,-9,3,-4,9,1,-0.75
Arunachal Pradesh,16 February,3,-5,4,-9,8,1,-0.75
Arunachal Pradesh,17 February,-5,-13,6,-11,11,2,-4.5
Arunachal Pradesh,18 February,-6,-10,4,-5,8,3,-3.25
Arunachal Pradesh,19 February,-1,-8,5,1,11,0,0.75
Arunachal Pradesh,20 February,-6,-12,26,-3,-17,3,-9.5
Arunachal Pradesh,21 February,2,-9,7,-8,6,0,-2.25
Arunachal Pradesh,22 February,2,-9,7,-8,6,0,-2.25
Arunachal Pradesh,23 February,2,-9,7,-8,6,0,-2.25
Arunachal Pradesh,24 February,-7,-16,1,-14,9,1,-7.0
Arunachal Pradesh,25 February,-8,-5,3,-2,8,0,-1.75
Arunachal Pradesh,26 February,-10,-15,2,-8,-6,1,-9.75
Arunachal Pradesh,27 February,-6,-14,-4,-4,7,-1,-4.25
Arunachal Pradesh,28 February,-31,-19,-5,-19,-12,6,-20.25
Arunachal Pradesh,29 February,-31,-19,-5,-19,-12,6,-20.25
Arunachal Pradesh,01 March,-31,-19,-5,-19,-12,6,-20.25
Arunachal Pradesh,02 March,-7,-13,7,-11,14,1,-4.25
Arunachal Pradesh,03 March,-7,-7,7,-1,11,-1,-1.0
Arunachal Pradesh,04 March,-5,-10,1,-2,12,-1,-1.25
Arunachal Pradesh,05 March,-7,-7,-1,4,9,0,-0.25
Arunachal Pradesh,06 March,1,-6,6,-1,13,-1,1.75
Arunachal Pradesh,07 March,1,-6,6,-1,13,-1,1.75
Arunachal Pradesh,08 March,1,-6,6,-1,13,-1,1.75
Arunachal Pradesh,09 March,-4,-6,6,-9,10,0,-2.25
Arunachal Pradesh,10 March,-30,-32,9,-20,-23,5,-26.25
Arunachal Pradesh,11 March,-5,-9,2,-7,11,0,-2.5
Arunachal Pradesh,12 March,-8,-8,4,-3,8,1,-2.75
Arunachal Pradesh,13 March,-5,-12,7,-5,13,0,-2.25
Arunachal Pradesh,14 March,-5,-12,7,-5,13,0,-2.25
Arunachal Pradesh,15 March,-5,-12,7,-5,13,0,-2.25
Arunachal Pradesh,16 March,-11,-15,10,-8,10,0,-6.0
Arunachal Pradesh,17 March,-9,-3,13,8,6,-1,0.5
Arunachal Pradesh,18 March,-9,-3,14,3,5,-2,-1.0
Arunachal Pradesh,19 March,-8,-1,14,5,1,-2,-0.75
