dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
27 August,Ludhiana,10147,8.36727962397955,6881,352,353,,248.14285714285714,2.926265231699724,,121270,34661.05931308394,499.0369387370707,,5621.5,10.142857142857142
28 August,Ludhiana,10237,8.441494186525935,7370,363,90,,236.71428571428572,2.926265231699724,,121270,34661.05931308394,440.73021737260194,,5621.5,10.571428571428571
29 August,Ludhiana,10509,6.970913070876588,7577,380,272,0.9225029676106495,225.28571428571428,0.7233115468409586,29485,150755,43088.38127108081,420.1513745380836,5319.916689984591,17212.5,10.857142857142858
30 August,Ludhiana,10777,7.148684952406222,7927,395,268,,229.57142857142858,0.7233115468409586,,150755,43088.38127108081,479.60136494891447,,17212.5,11.714285714285714
31 August,Ludhiana,10884,7.219661039434845,8079,413,107,,248.14285714285714,0.9225029676106495,,150755,43088.38127108081,419.00810549172144,,29485.0,12.714285714285714
01 September,Ludhiana,10950,6.614795394410951,8261,426,66,0.44645877020902386,232.57142857142858,0.7635312189391886,14783,165538,47313.61784917366,433.2989685712481,5431.67123926649,22134.0,13.0
02 September,Ludhiana,11160,6.57747391996228,8608,444,210,5.082284607938044,195.14285714285714,1.1322314049586777,4132,169670,48494.61477406574,423.29536441557946,5785.227191853979,16133.333333333334,13.857142857142858
03 September,Ludhiana,11310,6.665880827488654,8749,460,150,,166.14285714285714,1.1322314049586777,,169670,48494.61477406574,436.15714118715346,,16133.333333333334,15.428571428571429
04 September,Ludhiana,11494,6.774326634054341,8994,474,184,,179.57142857142858,1.1322314049586777,,169670,48494.61477406574,428.1542578626185,,16133.333333333334,15.857142857142858
05 September,Ludhiana,11702,6.896917545824247,9240,486,208,,170.42857142857142,1.4591593973037271,,169670,48494.61477406574,432.727334048067,,9457.5,15.142857142857142
06 September,Ludhiana,11863,6.991807626569223,9472,499,161,,155.14285714285714,1.4591593973037271,,169670,48494.61477406574,556.2003910551773,,9457.5,14.857142857142858
07 September,Ludhiana,12201,7.191017858195321,9754,509,338,,188.14285714285714,1.4591593973037271,,169670,48494.61477406574,603.0744219560247,,9457.5,13.714285714285714
08 September,Ludhiana,12512,7.374314846466671,9894,522,311,,223.14285714285714,5.082284607938044,,169670,48494.61477406574,561.345101763807,,4132.0,13.714285714285714
09 September,Ludhiana,12752,7.51576589850887,10208,535,240,,227.42857142857142,,,169670,48494.61477406574,610.7914880189692,,,13.0
10 September,Ludhiana,12847,7.571756939942241,10443,546,95,,219.57142857142858,,,169670,48494.61477406574,702.8246462511207,,,12.285714285714286
11 September,Ludhiana,12995,7.6589850887015976,10633,558,148,,214.42857142857142,,,169670,48494.61477406574,706.8260879133883,,,12.0
12 September,Ludhiana,13262,7.816349384098544,10832,572,267,,222.85714285714286,,,169670,48494.61477406574,697.6799355424912,,,12.285714285714286
13 September,Ludhiana,13499,7.956032297990216,11342,577,237,,233.71428571428572,,,169670,48494.61477406574,749.4128598903776,,,11.142857142857142
30 January,S.A.S. Nagar,,,,,,,,,,,,,,,
31 January,S.A.S. Nagar,,,,,,,,,,,,,,,
01 February,S.A.S. Nagar,,,,,,,,,,,,,,,
02 February,S.A.S. Nagar,,,,,,,,,,,,,,,
