dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
17 April,ct,0.47351630856255456,0.20587503391984624,0.07000947708101274,0.8770231400440964,0.3346556569339575,0.6123769601911516,2.2,1.0770329614269007,04-11-2020
18 April,ct,0.49546882034537365,0.2331897368294726,0.038426263749080536,0.9525113769416668,0.3381846747512627,0.6527529659394846,0.9,0.7000000000000001,04-12-2020
19 April,ct,0.45969461325258454,0.24479513284295945,-0.02009405531430225,0.9394832818194714,0.2945827441013368,0.6248064824038323,1.0,0.6324555320336759,04-13-2020
20 April,ct,0.4353795922716559,0.2639185803784563,-0.08189026852690329,0.9526494530702151,0.2573691489921909,0.6133900355511209,1.1,0.8306623862918076,04-14-2020
21 April,ct,0.5700909055022271,0.3337816909076297,-0.08410785740909088,1.2242896684135451,0.3449584928019399,0.7952233182025142,0.5,0.5,04-15-2020
22 April,ct,0.7103464510742648,0.3956098647688319,-0.06503305947805504,1.4857259616265845,0.4435115533863353,0.9771813487621942,0.0,0.0,04-16-2020
23 April,ct,0.9181581593103759,0.4699604303867944,-0.0029454858305256737,1.8392618044512776,0.6011745486187869,1.235141770001965,0.0,0.0,04-17-2020
24 April,ct,1.2564865750092673,0.5563999118085617,0.16596500386095858,2.347008146157576,0.8812003984935104,1.6317727515250242,0.0,0.0,04-18-2020
25 April,ct,1.6112547247191418,0.6089485843430158,0.41773985735020447,2.8047695920880793,1.200524994065621,2.0219844553726625,0.2,0.4000000000000001,04-19-2020
26 April,ct,1.863611726956238,0.6083357396374584,0.6712980106964053,3.0559254432160707,1.4532953539281688,2.2739280999843072,0.1,0.30000000000000004,04-20-2020
27 April,ct,1.9651141521176434,0.5621784667179244,0.8632668444891805,3.066961459746106,1.5859303981010706,2.344297906134216,0.0,0.0,04-21-2020
28 April,ct,1.878189714663722,0.4877520583245438,0.9222151904299493,2.834164238897495,1.5492058288444004,2.207173600483044,0.3,0.6403124237432848,04-22-2020
29 April,ct,1.9471804677919078,0.4471893908558051,1.070707149290164,2.8236537862936517,1.6455556955535757,2.2488052400302396,0.7,1.004987562112089,04-23-2020
30 April,ct,1.736109690043223,0.37393996937383406,1.003202307669283,2.469017072417163,1.4838909201002655,1.9883284599861804,0.3,0.45825756949558405,04-24-2020
01 May,ct,1.452254244897803,0.3108344135264895,0.8430312277624248,2.0614772620331814,1.242599541318321,1.661908948477285,0.6,0.4898979485566357,04-25-2020
02 May,ct,1.2549249261628321,0.2742706213475386,0.7173654791465104,1.7924843731791538,1.0699321347701307,1.4399177175555335,1.3,1.4866068747318506,04-26-2020
03 May,ct,1.0913547875933083,0.25105390986677495,0.599299166410824,1.5834104087757925,0.9220214359272673,1.2606881392593494,2.2,1.32664991614216,04-27-2020
04 May,ct,0.9700717020470494,0.23929955932667063,0.501054137749148,1.4390892663449508,0.8086665422768033,1.1314768618172955,2.6,2.4576411454889016,04-28-2020
05 May,ct,0.828748119928054,0.22686238542909107,0.38410691898245264,1.2733893208736553,0.6757317095799863,0.9817645302761216,3.1,1.2206555615733703,04-29-2020
06 May,ct,0.7284492773340587,0.2238319716729597,0.28974756613392466,1.1671509885341929,0.5774768507603641,0.8794217039077533,3.1,1.1357816691600546,04-30-2020
07 May,ct,0.5095875905450865,0.20179040069259213,0.11408647680363365,0.9050887042865394,0.37348198318194004,0.645693197908233,4.9,1.9209372712298547,05-01-2020
08 May,ct,0.48845720521873454,0.22427469714155873,0.048887769809165094,0.928026640628304,0.3371861647437246,0.6397282456937445,2.9,1.2206555615733703,05-02-2020
09 May,ct,0.7387865387217045,0.2982833437339544,0.15416311633690327,1.3234099611065058,0.5375974062065896,0.9399756712368195,0.6,0.66332495807108,05-03-2020
10 May,ct,1.2040538848244577,0.39974602564652184,0.42056766439830084,1.9875401052506145,0.9344291879861353,1.4736785816627802,0.1,0.30000000000000004,05-04-2020
11 May,ct,1.9904737593968442,0.49968379318799583,1.0111135121001,2.9698340066935884,1.653442037729473,2.3275054810642155,0.0,0.0,05-05-2020
12 May,ct,2.3583091097229683,0.4748302122408818,1.4276608869393295,3.288957332506607,2.038040879868616,2.6785773395773207,0.1,0.30000000000000004,05-06-2020
13 May,ct,2.315130156372997,0.396675733557057,1.5376615856305076,3.0925987271154867,2.047576340846098,2.5826839718998964,0.0,0.0,05-07-2020
14 May,ct,2.225205054437199,0.3309148049813437,1.5766252732659647,2.8737848356084337,2.0020063276253324,2.4484037812490658,0.4,0.48989794855663565,05-08-2020
